,price,bedrooms,bathrooms,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,sqft_living15,sqft_lot15,yr
0,221900.0,3.0,1.0,1.0,0,0,3,7,1180,0,1340,5650,1955
1,538000.0,3.0,2.25,2.0,0,0,3,7,2170,400,1690,7639,1991
2,180000.0,2.0,1.0,1.0,0,0,3,6,770,0,2720,8062,1933
3,604000.0,4.0,3.0,1.0,0,0,5,7,1050,910,1360,5000,1965
4,510000.0,3.0,2.0,1.0,0,0,3,8,1680,0,1800,7503,1987
5,1225000.0,4.0,4.5,1.0,0,0,3,11,3890,1530,4760,101930,2001
6,257500.0,3.0,2.25,2.0,0,0,3,7,1715,0,2238,6819,1995
7,291850.0,3.0,1.5,1.0,0,0,3,7,1060,0,1650,9711,1963
8,229500.0,3.0,1.0,1.0,0,0,3,7,1050,730,1780,8113,1960
9,323000.0,3.0,2.5,2.0,0,0,3,7,1890,0,2390,7570,2003
10,662500.0,3.0,2.5,1.0,0,0,3,8,1860,1700,2210,8925,1965
11,468000.0,2.0,1.0,1.0,0,0,4,7,860,300,1330,6000,1942
12,310000.0,3.0,1.0,1.5,0,0,4,7,1430,0,1780,12697,1927
13,400000.0,3.0,1.75,1.0,0,0,4,7,1370,0,1370,10208,1977
14,530000.0,5.0,2.0,1.5,0,0,3,7,1810,0,1360,4850,1900
15,650000.0,4.0,3.0,2.0,0,3,3,9,1980,970,2140,4000,1979
16,395000.0,3.0,2.0,2.0,0,0,3,7,1890,0,1890,14018,1994
17,485000.0,4.0,1.0,1.5,0,0,4,7,1600,0,1610,4300,1916
18,189000.0,2.0,1.0,1.0,0,0,4,7,1200,0,1060,5095,1921
19,230000.0,3.0,1.0,1.0,0,0,4,7,1250,0,1280,8850,1969
20,385000.0,4.0,1.75,1.0,0,0,4,7,860,760,1400,4980,1947
21,2000000.0,3.0,2.75,1.0,0,4,3,9,2330,720,4110,20336,1968
22,285000.0,5.0,2.5,2.0,0,0,3,8,2270,0,2240,7005,1995
23,252700.0,2.0,1.5,1.0,0,0,3,7,1070,0,1220,8386,1985
24,329000.0,3.0,2.25,2.0,0,0,4,8,2450,0,2200,6865,1985
25,233000.0,3.0,2.0,1.5,0,0,5,6,1710,0,1030,4705,1941
26,937000.0,3.0,1.75,2.0,0,0,3,8,1750,700,1760,3573,1915
27,667000.0,3.0,1.0,1.5,0,0,5,8,1400,0,1860,3861,1909
28,438000.0,3.0,1.75,1.0,0,0,3,7,790,730,1520,6235,1948
29,719000.0,4.0,2.5,2.0,0,0,3,8,2570,0,2630,6026,2005
30,580500.0,3.0,2.5,2.0,0,0,3,8,2320,0,2580,3980,2003
31,280000.0,2.0,1.5,3.0,0,0,3,7,1190,0,1390,1756,2005
32,687500.0,4.0,1.75,1.5,0,0,4,7,1510,820,1460,5000,1929
33,535000.0,3.0,1.0,1.5,0,0,4,8,1090,0,1570,5080,1929
34,322500.0,4.0,2.75,1.0,0,0,3,7,1280,780,2020,8720,1981
35,696000.0,3.0,2.5,1.5,0,0,3,8,1510,790,1590,3264,2002
36,550000.0,4.0,1.0,1.0,0,0,1,5,930,730,2160,11467,1933
37,640000.0,4.0,2.0,2.0,0,0,4,8,2360,0,1730,4700,1904
38,240000.0,4.0,1.0,1.0,0,0,2,7,890,330,1290,7800,1969
39,605000.0,4.0,2.5,2.0,0,0,3,8,2620,0,2620,11884,1996
40,625000.0,4.0,2.5,2.0,0,0,3,9,2570,0,2470,5669,2000
41,775000.0,4.0,2.25,1.0,0,0,3,8,2600,1620,2410,30617,1984
42,861990.0,5.0,2.75,2.0,0,0,3,9,3595,0,3625,5639,2014
43,685000.0,3.0,1.0,2.0,0,0,3,7,1570,0,1580,2640,1922
44,309000.0,3.0,1.0,1.0,0,0,4,6,920,360,1340,8808,1959
45,488000.0,3.0,2.5,2.0,0,0,3,8,3160,0,3050,9232,2003
46,210490.0,3.0,1.0,1.0,0,0,3,6,990,0,1228,8840,1966
47,785000.0,4.0,2.5,2.0,0,0,4,9,2290,0,2680,13685,1981
48,450000.0,3.0,1.75,1.0,0,0,4,7,1250,0,970,5100,1953
49,1350000.0,3.0,2.5,1.0,1,2,5,9,2165,588,2680,72513,1953
50,228000.0,3.0,1.0,1.0,0,0,3,7,1190,0,1190,9364,1955
51,345000.0,5.0,2.5,1.0,0,0,4,8,1640,1510,1990,9133,1966
52,600000.0,3.0,1.75,1.0,0,0,4,7,1000,410,1410,4080,1950
53,585000.0,2.0,1.75,1.0,0,0,3,7,990,990,1480,6738,1981
54,920000.0,5.0,2.25,1.5,0,0,3,8,2130,600,2730,6000,1927
55,885000.0,4.0,2.5,2.0,0,0,3,9,2830,0,1950,5000,1995
56,292500.0,4.0,2.5,2.0,0,0,3,7,2250,0,2250,4500,2008
57,301000.0,3.0,2.5,2.0,0,0,3,8,2420,0,2690,4750,2003
58,951000.0,5.0,3.25,2.0,0,4,4,8,3250,0,2960,11044,1968
59,430000.0,4.0,3.0,2.0,0,0,3,8,1850,0,2270,8542,1991
60,650000.0,3.0,2.25,1.0,0,3,4,8,1590,560,2570,18900,1959
61,289000.0,3.0,1.75,1.0,0,0,3,7,1260,0,1290,8750,1954
62,505000.0,3.0,1.75,2.0,0,0,5,8,2519,0,2500,9500,1973
63,549000.0,3.0,1.75,3.0,0,0,3,8,1540,0,1580,3090,2014
64,425000.0,3.0,2.25,1.0,0,0,3,7,1110,550,1440,4080,1979
65,317625.0,3.0,2.75,1.5,0,0,5,7,1770,1000,1440,4000,1925
66,975000.0,4.0,2.5,2.0,0,0,3,10,2720,0,2750,11049,1989
67,287000.0,4.0,2.5,2.0,0,0,3,7,2240,0,2221,4557,2005
68,204000.0,3.0,1.0,1.0,0,0,4,7,1000,0,1010,12635,1968
69,1325000.0,5.0,2.25,1.0,0,0,3,8,1600,1600,3390,20158,1965
70,1040000.0,5.0,3.25,1.0,0,0,4,11,3070,1700,3530,38917,1973
71,325000.0,3.0,2.0,1.0,0,0,4,7,1260,0,1640,4745,1972
72,571000.0,4.0,2.0,1.5,0,0,5,7,2250,500,1510,7807,1916
73,360000.0,4.0,2.5,2.0,0,0,3,8,2380,0,2420,5000,2005
74,349000.0,3.0,1.75,1.0,0,0,5,7,1090,700,1940,50529,1965
75,832500.0,4.0,4.0,2.0,0,0,4,10,2390,1040,3240,35020,1986
76,380000.0,4.0,1.75,1.0,0,0,3,7,880,880,1680,7500,1956
77,480000.0,3.0,1.0,1.0,0,0,3,7,1040,0,890,5060,1941
78,410000.0,3.0,1.0,1.0,0,0,4,7,910,500,1130,5693,1956
79,720000.0,4.0,2.5,2.0,0,0,3,10,3450,0,3350,39750,2002
80,390000.0,3.0,2.5,2.0,0,0,3,8,2350,0,2350,5363,2003
81,360000.0,4.0,2.5,2.0,0,0,3,7,1900,0,1870,6405,1992
82,355000.0,2.0,1.0,1.0,0,0,3,7,1010,1010,1720,6720,1948
83,356000.0,3.0,1.5,1.0,0,0,3,8,1680,0,1850,8797,1964
84,315000.0,3.0,1.0,1.0,0,0,3,6,960,0,1570,7203,1952
85,940000.0,3.0,1.5,2.0,0,0,3,9,1900,240,2020,4800,1925
86,305000.0,5.0,2.25,1.5,0,0,5,7,2660,0,1590,8165,1961
87,461000.0,3.0,3.25,2.0,0,0,3,9,1980,790,1900,7349,2006
88,215000.0,2.0,2.25,2.0,0,0,4,7,1610,0,1950,2025,1979
89,335000.0,2.0,1.75,2.0,0,0,3,7,765,265,1030,1106,2006
90,243500.0,4.0,2.5,2.0,0,0,3,7,1980,0,1980,7510,1988
91,1099880.0,5.0,2.75,2.0,0,0,4,10,3520,0,2520,6250,2001
92,153000.0,3.0,1.0,1.0,0,0,3,7,1200,0,1350,10500,1962
93,430000.0,3.0,1.5,1.0,0,0,3,8,1290,290,1570,4500,1939
94,700000.0,3.0,1.5,1.0,0,0,3,8,1290,290,1570,4500,1939
95,905000.0,4.0,2.5,1.0,0,0,3,7,2390,910,1950,6045,1991
96,247500.0,3.0,1.75,1.0,0,0,3,7,1960,0,1750,15616,1967
97,199000.0,4.0,1.5,1.0,0,0,4,7,1160,0,1160,6400,1975
98,314000.0,3.0,1.75,1.0,0,0,5,7,1210,600,1650,135036,1980
99,437500.0,3.0,2.5,2.0,0,2,3,9,2320,0,2550,35065,1992
100,850830.0,3.0,2.5,1.5,0,0,5,9,1270,800,2200,4500,1910
101,555000.0,3.0,2.0,1.5,0,0,4,7,1440,540,1610,3478,1929
102,699950.0,3.0,2.25,2.0,0,0,4,8,2190,0,2570,47777,1983
103,1088000.0,3.0,2.5,2.0,0,0,3,8,2920,0,2370,8113,2010
104,290000.0,3.0,1.0,1.0,0,0,3,7,1210,0,1640,14910,1954
105,375000.0,3.0,2.5,1.0,0,0,4,8,1460,880,2250,8162,1978
106,460000.0,3.0,1.0,1.5,0,0,4,7,1170,500,1240,4005,1939
107,188500.0,2.0,1.75,1.0,0,0,4,8,1240,0,1270,4966,1985
108,680000.0,4.0,2.5,2.0,0,0,4,10,3140,0,2990,35001,1991
109,470000.0,5.0,1.75,2.0,0,0,4,7,2030,0,2500,9433,1942
110,597750.0,4.0,2.5,2.0,0,0,3,8,2310,0,1940,9636,1984
111,570000.0,3.0,1.75,1.0,0,0,5,6,700,560,1380,3536,1905
112,272500.0,3.0,1.75,1.0,0,0,4,7,1160,380,1540,11656,1980
113,329950.0,3.0,1.75,1.0,0,2,3,7,1080,1000,2090,5500,1971
114,480000.0,4.0,2.5,2.0,0,3,3,9,2520,710,2640,8517,2001
115,740500.0,3.0,3.5,2.0,0,0,3,8,2780,1600,1830,6350,1999
116,518500.0,3.0,3.5,3.0,0,0,3,8,1590,0,1620,3166,2010
117,205425.0,2.0,1.0,1.0,0,0,4,6,880,0,1190,6780,1945
118,171800.0,4.0,2.0,1.0,0,0,3,6,1570,0,1880,9000,1950
119,535000.0,4.0,1.0,1.5,0,0,4,7,1610,0,1610,4040,1925
120,660000.0,3.0,2.5,1.0,0,2,3,8,1560,840,2340,10856,1964
121,391500.0,3.0,2.0,1.0,0,0,3,7,1450,0,1580,9104,1987
122,395000.0,2.0,1.0,1.0,0,0,3,6,770,0,1710,6000,1953
123,445000.0,4.0,1.75,1.5,0,0,5,7,1720,380,1850,4400,1924
124,770000.0,3.0,2.25,2.0,0,0,3,9,2910,0,2700,13992,1990
125,1450000.0,4.0,2.75,1.5,0,0,3,8,1980,770,3060,11275,1992
126,445000.0,3.0,2.25,1.0,0,2,3,8,1620,480,2660,8712,1967
127,260000.0,4.0,2.25,1.0,0,0,3,8,1360,800,2090,8400,1978
128,822500.0,5.0,3.5,2.0,0,0,5,7,1720,600,1700,4960,1926
129,430000.0,4.0,2.5,2.0,0,0,3,7,2070,0,1970,3748,2004
130,212000.0,3.0,1.75,1.0,0,0,4,7,1060,0,1420,7680,1986
131,660500.0,4.0,2.25,1.0,0,0,3,8,1440,570,2060,9793,1986
132,784000.0,3.0,3.5,1.5,0,0,3,9,2460,1490,2480,88500,1989
133,453246.0,3.0,2.5,2.0,0,0,3,8,1390,620,1690,1662,2014
134,675000.0,4.0,3.5,3.0,0,0,3,9,2140,0,1540,2285,2005
135,199000.0,3.0,1.75,1.0,0,0,4,7,1320,0,1550,19265,1956
136,220000.0,4.0,1.75,1.0,0,0,3,7,1010,1010,1750,8140,1968
137,452000.0,4.0,2.25,1.0,0,0,4,8,1340,1250,1550,10436,1968
138,382500.0,2.0,1.0,1.0,0,0,3,6,1190,0,1060,5715,1981
139,519950.0,3.0,2.25,3.0,0,0,3,8,1170,0,1350,1310,2014
140,665000.0,2.0,1.0,1.0,0,0,3,7,1110,0,1170,3600,1925
141,527700.0,5.0,2.5,1.0,0,0,4,8,1550,1270,2820,9375,1968
142,205000.0,3.0,1.0,1.0,0,0,4,7,1010,600,1610,8579,1962
143,420000.0,3.0,1.0,1.0,0,0,4,7,940,120,1560,7940,1923
144,500000.0,4.0,2.25,1.0,0,0,4,8,1380,650,2230,8824,1961
145,921500.0,4.0,2.5,2.0,0,0,4,9,3670,0,2840,87991,1994
146,890000.0,4.0,1.0,2.0,0,0,3,8,2370,180,2200,4000,1905
147,430000.0,2.0,2.5,2.0,0,0,3,7,2420,0,1940,193842,2007
148,258000.0,5.0,2.0,1.0,0,0,4,8,1130,1130,1360,18000,1960
149,511000.0,3.0,1.0,1.0,0,0,3,7,980,450,1450,4599,1947
150,532170.0,3.0,2.0,2.0,0,0,3,8,1360,0,1500,3090,1990
151,560000.0,3.0,1.0,1.5,0,0,3,7,1110,0,1420,5000,1947
152,282950.0,3.0,1.0,1.0,0,0,4,7,1250,0,1680,8633,1954
153,2250000.0,4.0,3.25,2.0,0,3,3,12,3540,1640,3160,9750,2006
154,350000.0,1.0,1.0,1.0,0,0,3,7,700,0,1010,5100,1942
155,215000.0,3.0,1.0,1.0,0,0,4,7,1180,0,1190,7669,1967
156,650000.0,5.0,3.5,2.0,0,0,3,9,2500,1460,2640,13675,1996
157,320000.0,4.0,2.75,1.0,0,0,3,8,1620,1020,1980,7875,1967
158,247000.0,3.0,2.0,1.5,0,0,3,7,1270,0,1160,7198,2013
159,320000.0,4.0,1.75,1.0,0,0,4,8,1760,0,1730,11180,1968
160,255000.0,5.0,2.25,1.0,0,0,3,7,1030,1030,1010,11680,1962
161,438000.0,3.0,1.75,1.0,0,0,3,7,1780,0,1200,9660,1962
162,900000.0,3.0,2.5,2.0,0,0,3,10,3400,0,3400,12601,2000
163,441000.0,3.0,2.75,1.0,0,0,3,7,1160,750,1710,8152,1979
164,420000.0,3.0,2.0,1.0,0,0,4,7,1010,1010,2110,36590,1975
165,370000.0,3.0,1.75,1.0,0,0,3,7,1180,400,1640,7500,1976
166,269950.0,2.0,1.75,1.0,0,0,5,5,700,640,1830,9750,1949
167,807100.0,4.0,2.5,2.0,0,0,3,9,2680,0,2920,4500,1999
168,653000.0,3.0,2.5,1.0,0,0,4,8,1610,1070,2480,8750,1979
169,371500.0,3.0,2.0,1.0,0,0,5,7,1370,0,1770,7288,1964
170,284000.0,3.0,1.75,1.0,0,0,3,7,1560,0,1070,7920,1954
171,272000.0,3.0,1.75,1.0,0,0,4,7,1670,490,1930,7350,1978
172,313000.0,3.0,1.5,1.5,0,0,3,7,1340,0,1480,7940,1955
173,917500.0,4.0,2.5,2.0,0,0,3,10,2570,1310,3740,35230,1984
174,673000.0,4.0,2.25,2.0,0,0,4,8,2590,0,2260,8335,1980
175,425000.0,3.0,2.5,2.0,0,0,3,8,820,300,1590,1795,2008
176,399950.0,5.0,2.75,1.0,0,0,3,7,1320,650,1280,2150,1986
177,385000.0,3.0,1.0,1.0,0,0,3,6,1220,0,1200,4800,1901
