,Y,y_bedrooms,y_bathrooms,y_waterfront,y_view,y_condition,y_grade,y_sqft_above,y_sqft_living15,y_yr
0,221900.0,582167.0,357727.0,0,566681,3,-48628,395202.71064647526,388139.9950391114,-35301102.31454459
1,538000.0,582167.0,525669.8125,0,566681,3,-48628,597604.504375,466766.6027992289,-35222064.104290456
2,180000.0,407085.0,357727.0,0,566681,3,-165242,357673.7688412939,786259.3963676231,-35272297.18960294
3,604000.0,720397.0,767935.0,0,566681,5,-48628,357673.7688412939,388139.9950391114,-35295331.46256143
4,510000.0,582167.0,468498.0,0,566681,3,156792,447700.77068694844,545891.72508125,-35243442.9296875
5,1225000.0,720397.0,1570839.25,0,566681,3,1305888,1234324.658865536,1449181.4632312502,-35169224.479159296
6,257500.0,582167.0,525669.8125,0,566681,3,-48628,447700.77068694844,705638.1209049613,-35197325.24879661
7,291850.0,582167.0,389529.25,0,566681,3,-48628,357673.7688412939,466766.6027992289,-35295331.46256143
8,229500.0,582167.0,357727.0,0,566681,3,-48628,357673.7688412939,545891.72508125,-35299898.14441958
9,323000.0,582167.0,594633.25,0,566681,3,-48628,515167.99216371187,705638.1209049613,-35169224.479159296
10,662500.0,582167.0,594633.25,0,566681,3,156792,515167.99216371187,625515.5128481789,-35295331.46256143
11,468000.0,407085.0,357727.0,0,566681,4,-48628,357673.7688412939,388139.9950391114,-35293423.53472179
12,310000.0,582167.0,357727.0,0,566681,4,-48628,447700.77068694844,545891.72508125,-35256689.4921875
13,400000.0,582167.0,423117.8125,0,566681,4,-48628,395202.71064647526,388139.9950391114,-35276111.667609125
14,530000.0,821775.0,468498.0,0,566681,3,-48628,515167.99216371187,388139.9950391114,-35127843.86880764
15,650000.0,720397.0,767935.0,0,1064837,3,451018,515167.99216371187,625515.5128481789,-35261459.19772801
16,395000.0,582167.0,468498.0,0,566681,3,-48628,515167.99216371187,545891.72508125,-35222064.104290456
17,485000.0,720397.0,357727.0,0,566681,4,-48628,447700.77068694844,466766.6027992289,-35215388.722171634
18,189000.0,407085.0,357727.0,0,566681,4,-48628,395202.71064647526,310012.05468487315,-35237719.23741552
19,230000.0,582167.0,357727.0,0,566681,4,-48628,395202.71064647526,388139.9950391114,-35287402.22334683
20,385000.0,720397.0,423117.8125,0,566681,4,-48628,357673.7688412939,388139.9950391114,-35293423.53472179
21,2000000.0,582167.0,675388.3125,0,1375097,3,451018,597604.504375,1280459.0646670614,-35287402.22334683
22,285000.0,821775.0,594633.25,0,566681,3,156792,597604.504375,705638.1209049613,-35197325.24879661
23,252700.0,407085.0,389529.25,0,566681,3,-48628,395202.71064647526,388139.9950391114,-35243442.9296875
24,329000.0,582167.0,525669.8125,0,566681,4,156792,597604.504375,625515.5128481789,-35243442.9296875
25,233000.0,582167.0,468498.0,0,566681,5,-165242,447700.77068694844,310012.05468487315,-35284541.3192341
